,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
,,9:30PM,,,,
8,8/13/2018,8/12/2018,"{cak} Bright, starlike object making random turns/stops/hovers for several minutes","Tillamook, OR, US",,
,,11:00PM,,,,
9,8/9/2018,8/3/2018,"{jpg} Hotel room facing ocean, looking out window to see UFO cruising past very close to me glowing from within orange/yellow strong light like how moon glows, could see outline","Newport, OR, US",,20180809195642.jpg
,,12:00AM,,,,
10,8/9/2018,7/5/2018,"{jpg} While taking sunset pictures, i noticed a perfect UFO cloud. I took 2 pictures and then went for my 300 mm zoom. While changing lenses the UFO suddenly left up and out to the west creating a black hole and emitted strange beams of light backward.","Seaside, OR, US",,DSC1187Copy.JPG
,,12:00AM,,,,DSC1188Copy.png
,,,,,,DSC1189Copy.png
,,,,,,DSC1190Copy.png
11,8/8/2018,8/4/2018,{jpg} Over several hours I was able to capture several minutes of clear focused video through a spotting scope.,"Union, OR, US",,
,,12:00AM,,,,
12,8/4/2018,8/4/2018,{jpg} UFO found in background sky of a photograph.,"Eugene, OR, US",,DSC1385.tif
,,2:17PM,,,,20180804DSC1385.tif
13,8/3/2018,8/2/2018,"{rjl} Massive bright light above clouds. Stationary for a second, then accelerated and ascended out of sight. Light faded as it ascended.","Bend, OR, US",,
,,11:00PM,,,,
14,8/1/2018,7/31/2018,"{rjlBright light traveling in straight line N by NE about 30 deg above horizon. Light slowly faded as it ascended into the sky and disappeared. Never reappeared. Clear night no clouds, no strobes and not a plane. light got smaller as it moved into space.","Prineville, OR, US",,
,,10:46PM,,,,
15,7/30/2018,7/12/2018,"{rjl} hubble anomilies on youtube. capella, canopus kentaurus and vega stars have some similar alien or ufo type dishes pointed at them","OR, US",,
,,1:00AM,,,,
16,7/29/2018,7/28/2018,{rjl} Flashes of light with beam-light flashes,"Newberg, OR, US",,
,,1:25AM,,,,
17,7/29/2018,7/28/2018,"{rjl} Red light hovering, dropped suddenly, began blinking, moved like a plane behind tree. Got witness, another drop out of sight","Redmond, OR, US",,
,,8:30PM,,,,
18,7/28/2018,7/18/2018,{cak} UFO sighting was simple but out of the ordinary,"Hood River, OR, US",,
,,2:06PM,,,,
19,7/26/2018,7/23/2018,{cak} Star sat still then zooms off,"Milwaukie, OR, US",,Screenshot20180530230202.png
,,9:45PM,,,,Screenshot20180530041121.png
,,,,,,Screenshot20180530041127.png
,,,,,,Screenshot20180530041141.png
,,,,,,Screenshot20180530041145.png
20,7/26/2018,7/24/2018,{cak} Look in the sky brighter then any thing else,"Independance, OR, US",,90C963848CAF4D3094638407430A1616.jpeg
,,11:03PM,,,,44B647FE846E43FA874E925F6FCCF38D.jpeg
,,,,,,3E057F1A35D7417BB91A3724B676A10A.MOV
21,7/22/2018,7/19/2018,{cak} Object appeared over Pacific Ocean and continued towards Astoria Oregon,"Seaside , OR, US",,20180721171456.jpg
,,11:21PM,,,,20180721171447.jpg
,,,,,,20180721171421.jpg
22,7/22/2018,7/21/2018,{cak} West to east then changed to north east no sound solid color and sphere steady slow as a cesna white 12 min.,"Coos bay, OR, US",,
,,9:30PM,,,,
23,7/21/2018,7/21/2018,"{td} Silver, very reflective shape (really shiny) rose high up into the atmosphere, moving vaguely West or NW","Beaverton, OR, US",,
,,12:44PM,,,,
24,7/20/2018,7/19/2018,{td} Bright Light in sky with beam hitting my garage door,"Lebanon, OR, US",,record.mp4
,,10:40PM,,,,record1.mp4
25,7/20/2018,7/19/2018,{td} Just very strange,"Pilot Rock, OR, US",,
,,11:11PM,,,,
26,7/20/2018,7/17/2018,"{td} film starlike moving objects in distance,and when i downloaded my sd card it appeared on it.","Albany, OR, US",,1000361.MOV
,,2:30AM,,,,1000362.MOV
27,7/17/2018,7/11/2018,"Observed a white metallic object not moving for quite some time, kinda random flashing, then another object came into view flying over first object and hovered next to it, then one disappeared, faded away then the first one took off in straight line in th","Pendleton, OR, US",,VID20180711093118573.mp4
,,9:00AM,,,,VID20180711092942013.mp4
,,,,,,IMG20180711092319833.jpg
,,,,,,IMG20180711105129759HDR.jpg
28,7/17/2018,7/11/2018,"{td} One stationary white object hoverting more than a mile out at 45 degrees in the west, second object decended and flew off to the east","Pendleton, OR, US",,
,,10:45AM,,,,
29,7/12/2018,7/11/2018,"White light in straight line trajectory overhead stopped, hovered, another joined and both disappeared","Portland , OR, US",,
,,11:15PM,,,,
30,7/11/2018,7/10/2018,"{jpg} Took photo of sky over my shoulder and when I looked at pic it was there, but nothing In the sky after","Coos Bay, OR, US",,Snapchat2132073885.jpg
,,7:41PM,,,,20180710194940.jpg
31,7/8/2018,7/7/2018,{jpg} Bright pulsating triangle to spherical brighter and bigger. Bright arms. shrink and disappear.,"Milwaukie, OR, US",,
,,10:45PM,,,,
1,1/4/2019,12/2/2018,"{dr}orbing light in forest, followed by a light cutting through the clouds and taking a hard turn up","Portland , OR, US",,9CC2DF00A5E740BBA24FAD0E899C1FEF.MOV
,,6:47PM,,,,
2,1/3/2019,12/31/2018,{dr}3 red objects near Diamond Peak Oregon on 31 December 2018,"Crescent Lake, OR, US",,VID20181231220626.mp4
,,10:06PM,,,,
3,12/18/2018,12/18/2018,"{rjl} Glowing craft observed speeding through sky, joins other crafts","Tillamook, OR, US",,
,,12:00AM,,,,
4,12/17/2018,9/25/2018,{rjl} noticed unusual shaped object siting still in sky aprox 2000ft +/_,"madras, OR, US",,IMG2607.PNG
,,12:00AM,,,,IMG2603.JPG
,,,,,,IMG2605.JPG
,,,,,,IMGE2678.JPG
5,12/13/2018,11/17/2018,"{cak} I wokeup kicking my legs, they disappeared, I jumped from my bed and opened front entry door to see their craft","Albany, OR, US",,No120181117060516.jpg
,,12:00AM,,,,No220181117060812.jpg
,,,,,,No320181117062326.jpg
,,,,,,No420181117062328.jpg
,,,,,,No520181117062332.jpg
,,,,,,No620181117062337.jpg
,,,,,,No720181117062347.jpg
6,12/6/2018,12/5/2018,{jpg} 1 white 6 redish orange craft flying in formation- white lead craft appeared larger than others,"Baker City, OR, US",,20181205181234.jpg
,,6:10PM,,,,
7,11/29/2018,10/29/2018,{tjd} THIS LOOKS LIKE A STAR THAT MOVES A LOT OF DIFFERENT DIRECTIONS IF SOMBODY WANTS TO SEE SOMTHING VERY STRANGE I WOULD SHOW UP IN A WEEK OR TWO FOR CLOUDS,"AUMSVILLE, OR, US",,
,,9:00PM,,,,
8,11/24/2018,11/23/2018,{rjl}I noticed cirlcles forming in the clouds. Then other shapes started to manifest in the approximate area. Like triangle shapes with perfect right angles. Another shape with a triangle inside of it with circles at the points of the triangle. Not clouds,"Beaverton, OR, US",,20181123193940.jpg
,,9:00PM,,,,20181123195649.jpg
,,,,,,20181123195700.jpg
,,,,,,20181123201815.jpg
,,,,,,20181123201904.jpg
,,,,,,20181123201901.jpg
,,,,,,20181123194424.jpg
,,,,,,15430926637421812641700.jpg
9,11/23/2018,11/22/2018,{rjl} I seen a Orb shaped thing in the air right before sunrise seen small objects next to it,"Roseburg, OR, US",,IMG0870.JPG
,,6:13AM,,,,IMG0871.JPG
,,,,,,IMG0872.JPG
,,,,,,IMG0873.MOV
,,,,,,IMG0874.MP4
10,11/22/2018,11/18/2018,{rjl} Bright Orange Object Moves Across the Sky then Emitts an,"Albany, OR, US",,WP20181118023343Pro.jpg
,,2:34AM,,,,
11,11/19/2018,11/18/2018,"{rjl} Looked like a star, but sky to bright for stars. It teleported away after looking away","Ashland, OR, US",,
,,4:51AM,,,,
12,11/12/2018,11/11/2018,{cak} The sienna type colors that were on this (3) had 3 black circle patterns built into it,"West Linn, OR, US",,
,,12:00AM,,,,
13,11/11/2018,11/11/2018,"{cak} 5 military helicopters flying over, small glowing object fell slowly, then hovered","Phoenix , OR, US",,
,,11:15AM,,,,
14,11/10/2018,11/10/2018,{dr}Found strange light in photo,"Welches, OR, US",,201811101354281.jpg
,,2:00PM,,,,Screenshot201811101548111.png
,,,,,,201811101354181.jpg
15,11/7/2018,11/7/2018,{jpg} Flew through they sky with no sound,"Ontario, OR, US",,
,,12:00AM,,,,
16,11/7/2018,11/5/2018,{jpg} STANDING OUT SIDE FACING SOUTH LOOKED UP AT SKY SAW WHAT APPEARED TO BE A FLYING TRIANGLE SHAPPED CRAFT THAT SEEMED TO ROTATE AS IT FLEW BY,"Newport, OR, US",,
,,10:30PM,,,,
17,11/5/2018,9/24/2018,{jpg} I did not see this till I got home and looked at my photos,"Port Orford, OR, US",,3B6A3129.JPG
,,10:52AM,,,,Map.JPG
,,,,,,3B6A3129.CR2
18,11/4/2018,11/3/2018,"{jpg} it flew from the east and hovered briefly over I-5 as I drove south to cottage grove, by the time I pulled over it vanished","Walker mile post 18, OR, US",,
,,12:00AM,,,,
19,10/28/2018,10/21/2018,"{tjd} Witnessed a pulsating multi colored light that was hovering then would shift left or down rapidly, Then it would slowly start ascending, slowly to the south. Through binoculars & saw a complete spectrum of rapid pulsating lights.","PORTAND, OR, US",,ufomt.scott1.mp4
,,2:33AM,,,,ufomtScott2.mp4
,,,,,,ufomt.scottlast.mp4
,,,,,,ufopic1.jpg
,,,,,,ufo7.jpg
20,10/23/2018,10/20/2018,{cak} it touch me with sound a purr like vibration,"north plains, OR, US",,
,,12:00AM,,,,
21,10/21/2018,9/26/2018,{cak} Was trying to photograph the moon and at the edge of the frame observed on computer saw object,"Salem, OR, US",,FBIMG1539666460944.jpg
,,8:58PM,,,,FBIMG1539666465773.jpg
,,,,,,FBIMG1539666469427.jpg
,,,,,,FBIMG1539666472796.jpg
,,,,,,FBIMG1539666476034.jpg
22,10/21/2018,9/30/2018,{cak} I filmed two planes in slow motion and watched my video and then saw the ufo. It was going too fast to see without filming in slow motion.,"Hillsboro , OR, US",,AFE19462AF6344CC992FCB8674E707FD.MOV
,,12:00AM,,,,
23,10/18/2018,10/17/2018,{rjl} uneven line of 11 objects,"Eugene, OR, US",,
,,6:45PM,,,,
24,10/17/2018,10/14/2018,{rjl} 1 massive UFO shot straight down then hovered then 2 smaller ones on each side of the larger one appeared,"Christmas Valley, OR, US",,
,,12:00AM,,,,
25,10/16/2018,9/5/2018,{rjl} human abduction and figuring out our cyborgs... human experiment,"OR, US",,
,,12:30PM,,,,
26,10/15/2018,9/1/2018,{rjl} Huge round lights shining through for from directly overhead inside about a million acres of blm,"Coquille, OR, US",,
,,12:00AM,,,,
27,10/12/2018,10/11/2018,"{tjd} Never noticed this with my naked eye, only when i was looking at picture did i notice it.","Hillsboro, OR, US",,20181011203726.jpg
,,12:00AM,,,,20181011130419.jpg
28,10/3/2018,10/2/2018,{jpg} Telepahthic Alien Entities Came With The House,"Jefferson , OR, US",,20181002173704.jpg
,,5:30PM,,,,received322448101651245.png
,,,,,,Screenshot20181002173139VideoPlayer.jpg
,,,,,,Screenshot20181002173231VideoPlayer.jpg
,,,,,,20181002173609.jpg
29,9/29/2018,9/28/2018,{dr}These are street light's from same distance for refreance!,"Albany, OR, US",,VID0160.3gp
,,8:45PM,,,,VID0159.3gp
30,9/28/2018,9/28/2018,{dr}Chrome ball,"Madras, OR, US",,
,,1:05PM,,,,
31,9/28/2018,9/27/2018,{dr}EXTREMELY FAST moving light in sky.,"Sherwood, OR, US",,
,,9:30PM,,,,
32,9/26/2018,9/25/2018,{dr}Blinking lihgt's,"Albany, OR, US",,VID0157.3gp
,,9:57PM,,,,
33,9/25/2018,9/25/2018,{dr}The 1 that disapaers at the end and comes back befor end of video is out ht e kitchen window the other is out the bathroom window,"Albany, OR, US",,VID0152.3gp
,,12:00AM,,,,VID0154.3gp
,,,,,,VID01561.3gp
,,,,,,VID0156.3gp
,,,,,,VID0153.3gp
34,9/23/2018,9/12/2018,{dr}about 5 strobe flashes slowly moved across sky then a ship appeared in mist and disappeared,"Cave Junction, OR, US",,
,,9:30PM,,,,
35,9/22/2018,9/21/2018,{rjl} Something interacted with me and physically changed an object that I was holding multiple times and penetrated my arm and physically changed my arm,"OR, US",,
,,9:00PM,,,,
36,9/20/2018,9/20/2018,{rjl} Slow moving retangle shape with blunt bullet nose moving across sky,"Corvallis, OR, US",,
,,7:20AM,,,,
37,9/10/2018,9/8/2018,"{cak} was in my backyard, was watching a Cessna go in circles and noticed above the Cessna was a stationary object. I could see a red and green light green light on the left red light on the right then all of a sudden red lights came on around the object","Portland, OR, US",,
,,12:00AM,,,,
38,9/8/2018,9/8/2018,{jpg} Large compared to stars,"Stayton, OR, US",,9B397B2D47B64CB3A3C94A6F71C38EB5.MOV
,,8:40PM,,,,B1D79583BEA84C91862B3EABDA5739C3.jpeg
,,,,,,B89B6B750AAE44D0801A8C012F5CAA05.jpeg
39,9/6/2018,9/5/2018,{jpg} red/green sphere objects(6-8) flew from N to S over beach/surf then dissipated,"Yachats, OR, US",,UFO1.MOV
,,9:20PM,,,,UFO2.MOV
,,,,,,ufo3.MOV
,,,,,,uFO4.MOV
40,9/5/2018,9/3/2018,"{jpg} Sudden multiple large, flashing Star-like objects and smaller associated and trailing orbs","Portland, OR, US",,
,,11:00PM,,,,
41,9/4/2018,9/4/2018,{jpg} orange light inbetween trees,"Albany , OR, US",,
,,3:45AM,,,,
42,9/4/2018,9/3/2018,{jpg} Small orb?,"Albany, OR, US",,VID0152.3gp
,,2:05AM,,,,
1,8/24/2018,2/8/2018,"{rjl} outside looking at clouds, it looked to me that it was having issues with cloaking to look like a cloud. It had at least 4 stories of Windows along the parameter. It would blink in and out to look like a cloud. This lasted about 5-8 minutes","Valley, WA, US",,
,,1:07PM,,,,
2,8/10/2018,3/25/2018,{jpg} Video taping/sun/clouds seen fact object go by reviewed iPad seen incredibly fast object go by up in the sky,"Seattle, WA, US",,40B3CD2F046E44119BDD84DC92FC8AF8.jpeg
,,3:46PM,,,,1669EC96F4F241AC892382CB149C6F2B.MOV
3,4/18/2018,1/15/2018,{cak} V-shaped UFO,"Glacier, WA, US",,
,,1:30PM,,,,
4,4/2/2018,3/25/2018,"{jpg} My 2nd-Orange Orb Sighting over Vancouver, WA.","Vancouver, WA, US",,
,,3:06AM,,,,
5,4/1/2018,3/30/2018,{jpg} Photo captured from National Park webcam,"Crescent City, WA, US",,IMG8754.MOV
,,12:00AM,,,,
6,3/30/2018,3/29/2018,{td} Awakened by dogs barking. Saw object circling area. Took picture,"Orting, WA, US",,8996A574AF974A2D860FBE268316424E.jpeg
,,12:00AM,,,,153D320F8B47445495D62FFFB23F32CD.jpeg
7,3/29/2018,3/17/2018,{td} See video,"Everett , WA, US",,20180317230258.mp4
,,11:00PM,,,,
8,3/25/2018,3/24/2018,"{td}Strange craft with two bright lights and a blinking white light, but moved unlike an airplane","WA, US",,
,,9:20PM,,,,
9,3/22/2018,1/27/2018,{rjl} Marysville Washington single-engine plane disappears behind trees reappears as orb find alien in backyard,"Marysville , WA, US",,Screenshot20180307115256.png
,,12:00AM,,,,
10,3/21/2018,3/19/2018,"{rjl} Unusually bright, pulsating multi colored lights W/SW. Camera is Samsung ST 201 10x zoom. Taken from front porch.","WA, US",,SAM2902.JPG
,,8:54PM,,,,SAM2905.JPG
,,,,,,SAM2906.JPG
,,,,,,SAM2907.JPG
11,3/19/2018,3/14/2018,{rjl} I seen a bright shiny half a oval hovering by tree tops. Then it was gone in a split second.,"Lacey, WA, US",,
,,12:00AM,,,,
12,3/16/2018,3/15/2018,{cak} Bright pulsating twinkling light not found on sky view lite,"Auburn, WA, US",,20180315231538.mp4
,,10:09PM,,,,20180315231851.jpg
,,,,,,20180315231846.jpg
13,3/12/2018,3/12/2018,{cak} Heard sea lions from puget sound making noise...snapped some photos,"Everett, WA, US",,20180312195640.jpg
,,12:00AM,,,,20180312195643.jpg
,,,,,,201803121956401.jpg
,,,,,,20180312195648.jpg
14,3/12/2018,3/4/2018,{cak} Saw glowing red object rapidly changing directions at high speed,"Tacoma, WA, US",,
,,8:45PM,,,,
15,3/11/2018,2/17/2018,{cak} about three weeks after Seattle trip found something on four different photos I had taken. Kind of freaked me out. never noticed object before.,"South Washington, WA, US",,
,,12:00AM,,,,
16,3/7/2018,3/6/2018,{jpg} I was on the bluff and this bright red yellow orange ball crashed into the hills,"Aberdeen, WA, US",,ufo.jpg
,,9:50PM,,,,
17,3/5/2018,3/3/2018,{jpg} Completely stationary white sphere hovering above the trees.,"Issaquah, WA, US",,20180303150953.mp4
,,3:09PM,,,,Screenshot20180305151118.jpg
18,3/1/2018,3/1/2018,{td}I saw a moving glint in the sky and took a picture,"Marysville, WA, US",,IMG8484.CR2
,,1:44PM,,,,IMG84841.JPG
,,,,,,IMG8484.JPG
19,2/25/2018,2/24/2018,{td}Saw disc and after a min said to myself need to get pic this time got my phone and took 3 pictures,"Auburn, WA, US",,auburnufofeb2418.jpg
,,12:00AM,,,,auburn2.jpg
,,,,,,auburn3.jpg
,,,,,,auburn4.jpg
,,,,,,auburn4.5.jpg
20,2/20/2018,2/19/2018,{rjl} Very bright piercing light,"Enumclaw, WA, US",,alien.gif
,,6:15AM,,,,
21,2/15/2018,2/14/2018,{cak} Enumclaw/Greenwater Washington UFO 2nd Sighting,"enumclaw/greenwater, WA, US",,
,,12:00AM,,,,
22,2/13/2018,2/13/2018,{cak} Giant cube object follows us,"Lynwood WA, WA, US",,
,,4:00PM,,,,
23,2/12/2018,2/11/2018,{cak} Glowing orange two overlapping orb or ball like fire balls in flight path horizontal above tree line lower than all airplanes but no sound and speed too slow for plane. Three witnesses,"PORT ORCHARD, WA, US",,IMG8150.JPG
,,9:05PM,,,,IMG8150.JPG
24,2/11/2018,2/10/2018,"{cak} Triangle shape craft, silent, rotating spheres at the corners of the acute angle.","Olympia, WA, US",,
,,12:30PM,,,,
25,2/8/2018,2/7/2018,{jpg} White object teardrop shape moving sorta from South to NW,"bellingham, WA, US",,
,,7:30PM,,,,
26,2/4/2018,1/15/2018,"{jpg} Dark super long needle like UFO, looked miles long, was dark during day invisible, and left smoke trails video recorded","Snoqualmie Pass, WA, US",,FBIMG1517728701063.jpg
,,12:27PM,,,,FBIMG1517728689773.jpg
,,,,,,VID201801151326174022.mp4
,,,,,,FBIMG1517728679447.jpg
27,2/3/2018,2/2/2018,{td}Humming Sound,"Edmonds, WA, US",,
,,5:37PM,,,,
28,2/2/2018,2/1/2018,{td}white light passing below clouds from north to south,"Bellingham, WA, US",,
,,7:30PM,,,,
29,1/31/2018,1/30/2018,{dr}Me and someone else saw it,"Lynnwood, WA, US",,
,,3:49PM,,,,
30,1/28/2018,1/21/2018,"{dr}Taking photos of a rare double rainbow, object appears in 2 photos and odd streaks in other photos.","Kent, WA, US",,IMG20180121152900743.jpg
,,7:34PM,,,,IMG20180121152901530.jpg
,,,,,,IMG20180121152902290.jpg
,,,,,,IMG20180121152912024.jpg
31,1/23/2018,1/16/2018,{jpg} Filmed a music video in near Mt.Rainier only to later discover massive ufo traffic in the footage,"Greenwater, WA, US",,Ufo1.MOV
,,12:00AM,,,,Ufo2.MOV
,,,,,,Ufo3.MOV
,,,,,,Ufosplittinglight.MOV
,,,,,,waterlook.MOV
32,1/19/2018,1/15/2018,"Sphere of light, zig-zagged up and down as it moved from East to SW in the forest.","Eatonville, WA, US",,
,,10:30PM,,,,
33,1/18/2018,1/14/2018,{rjl} Took 30 second shutter speed picture.object puttered by like a jetson mobile.,"Bow hill, WA, US",,20180114041927.jpg
,,4:19AM,,,,20180114041927.dng
34,1/15/2018,1/14/2018,{rjl} I witnessed a blue orb on my walk with my cellphone,"WA, US",,Snapchat13340892.mp4
,,11:52AM,,,,
35,1/12/2018,1/11/2018,{cak} Very slow moving. No blinking lights. Was in view for short time then slowly disappeared. Reappeared on lower horizon,"Seatac, WA, US",,
,,4:45PM,,,,
36,1/12/2018,1/11/2018,{cak} Saw four birht lights got binoculars and saw 4 bright steady lights left to get camera and objects were gone.,"Okanogan, WA, US",,
,,7:45AM,,,,
37,1/11/2018,1/9/2018,{cak} Aircraft carrier sized object with white and red lights fore at altitude of 500 to 1000 feet moved slowly form se to nw,"Ellensburg, WA, US",,
,,8:45PM,,,,
38,1/8/2018,1/6/2018,{cak} orb orange red white going slow stopped and hovering but not in place wobbling back and forth climbine to east,"port townsend, WA, US",,
,,8:45PM,,,,
39,1/2/2018,1/2/2018,{dr}Bright lights blinded me but i seen through and i noticed a figures in all of the ships,"Cheney, WA, US",,Voice180102.3gp
,,4:08PM,,,,
40,1/1/2018,1/1/2018,"{dr}Bright Orange starlike but much brighter, floating into formation and then what seemed like they left one at a time away from me as the their magnitude dropped away.","Burlington, WA, US",,
,,2:54AM,,,,
1,9/13/2018,5/25/2018,"{cak} Looking east while on my deck enjoying the yellow orange cast of dusk, I observed a brown metal object moving fast. No observable rotor or engine. No noise. Above treeline.","Poulsbo, WA, US",,
,,8:30PM,,,,
2,7/15/2018,6/15/2018,{td} Saw it - spoke to it - it moved - I said hello - it blinked white. like Dr. Greer,"Yelm, WA, US",,
,,12:00AM,,,,
3,7/11/2018,6/11/2018,{jpg} i have it on cell phone camera 1 hovering 3 information plus inplant in arm with scare,"renton, WA, US",,
,,2:15PM,,,,
4,7/2/2018,6/30/2018,{dr}Happened to look up SE of the sky to see a white stationary dot right above columbia river gorge between OR and WA. Did not move an inch for over an hour then clouds rolled in and it was gone. Did take a pic and video.,"Goldendale, WA, US",,20180630161434.jpg
,,4:15PM,,,,
5,6/28/2018,6/27/2018,{td} Triangle towing a white object,"Blaine, WA, US",,
,,10:28AM,,,,
6,6/21/2018,5/24/2018,{rjl} We took a photo of an airplane coming at us.,"Richland, WA, US",,IMG6642.JPG
,,8:53PM,,,,IMG6642.MOV
7,6/20/2018,6/20/2018,"{rjl} Black ball appeared, hovered and disappeared","Pasco, WA, US",,
,,8:20PM,,,,
8,6/20/2018,6/17/2018,"{rjl} Initially looked like a reflective bubble, upon cloer inspection with binoculars, transparent circular object, lined with lights inside and pulsed color in the center.","SeaTac, WA, US",,Screenshot20180620101711Gallery.jpg
,,12:00AM,,,,
9,6/18/2018,6/17/2018,{rjl} noticed white light coming from across the way over by an island.,"Ferndale, WA, US",,
,,5:10AM,,,,
10,6/17/2018,6/17/2018,{rjl} Bright yellowish light on top of Lummi island.,"Lummi, WA, US",,
,,5:15AM,,,,
11,6/13/2018,6/12/2018,{cak} 3 blinking white lights moving from North to South.,"Bellingham, WA, US",,
,,12:00AM,,,,
12,6/13/2018,6/11/2018,{cak} Captured image in picture. I did not see ufo at time of pic,"Des Moines, WA, US",,20180611215046.jpg
,,9:50PM,,,,
13,6/12/2018,6/11/2018,{cak} Unknown bright white object,"Graham, WA, US",,
,,10:11PM,,,,
14,6/4/2018,6/1/2018,"{jpg} I was in the car with some friends, headed to a bar. I was the only one who saw the lights because we were driving and the buildings blocked sight of the lights quickly.","Bremerton, WA, US",,
,,9:30PM,,,,
15,5/31/2018,5/4/2018,{td} Saw this object in photo after photographing odd clouds over the area,"Port Angeles, WA, US",,IMG20180502110035.jpg
,,4:15PM,,,,IMG20180504232111.jpg
,,,,,,IMG20180505035103.jpg
16,5/29/2018,5/3/2018,"{td! was sitting on my couch where I normally sit in the evening when I saw out my living room window a green light that sped across my line of sight,having never seen such a thing i wrote it down....we where watching the opposition with jordan klepper","Arlington, WA, US",,
,,8:43PM,,,,
17,5/28/2018,5/27/2018,{td} Very bright orange orb that would randomly dim down and turn blue.,"Shelton, WA, US",,
,,10:50PM,,,,
18,5/25/2018,5/7/2018,{rjl} 2 Saucer/orbs hover 45min one leaves,"Marysville, WA, US",,Screenshot20180524143043.png
,,7:00PM,,,,Screenshot20180524143035.png
,,,,,,20180507214352.mp4
,,,,,,20180507212747.mp4
,,,,,,Screenshot20180524142512.png
19,5/21/2018,5/20/2018,{rjl} Encounter of the 4th Time.,"Vancouver, WA, US",,
,,1:07AM,,,,
20,5/16/2018,5/14/2018,{cak} Large Bright Sun Like round orb with black ring. Like looking into the sun. Perfectly clear morning no cloud cover and no aircraft in area. Pre dawn.,"Marysville , WA, US",,
,,4:25AM,,,,
21,5/15/2018,5/9/2018,{cak} white/silver disk like shape,"Curlew, WA, US",,RainbowUFO1.jpg
,,12:00AM,,,,RainbowUFO2.jpg
,,,,,,RainbowUFO3.jpg
22,5/13/2018,5/10/2018,"{cak} It was so high up it looked like a star. It moved very fast, about 10 seconds across the sky and then disappeared.","Moxee/Yakima, WA, US",,
,,10:01PM,,,,
23,5/13/2018,5/7/2018,{cak} white light object hovering then desending on top of Mt. Baker,"Bellingham, WA, US",,
,,10:00PM,,,,
24,5/13/2018,5/11/2018,{cak} Light as bright as a normal star/satellite. Appeared and disappeard as it travelede northward.,"Marysville , WA, US",,
,,11:22PM,,,,
25,5/9/2018,5/8/2018,"{td} When my family saw it, my mom saw it first, I didn't believe her at first. It amazed me.","Ferndale, WA, US",,WIN20180509145214.JPG
,,10:15PM,,,,
26,5/9/2018,5/7/2018,"{td} Translucent object, highly reflective, yet solid as well, changed shape.","Everett, WA, US",,IMG3279.m4v
,,1:23PM,,,,IMG3276.jpg
,,,,,,IMG3277.jpg
,,,,,,IMG3278.jpg
,,,,,,IMG3280.jpg
27,5/8/2018,5/8/2018,{td} came up and appeared randomly. 3. were large. bright.,"springdale, WA, US",,
,,6:43PM,,,,
28,5/6/2018,5/6/2018,{td} Triangle shaped white reflective light. West of Lummi island,"Ferndale, WA, US",,
,,11:15AM,,,,
29,5/1/2018,4/30/2018,"{jpg} This object was not a drone. It was too big, maybe may 150 ft wide and long","WA, US",,
,,10:15PM,,,,
30,4/25/2018,4/20/2018,{rjl} Star-Like UFO streaks across at very high-altitude.,"Vancouver, WA, US",,
,,9:50AM,,,,
31,4/17/2018,4/17/2018,{cak} Big oval shoots to the ground then rapidly changes behind a cloud two different direction,"Vancouver , WA, US",,
,,1:05AM,,,,
32,4/15/2018,4/9/2018,{cak} 3 red orange spheres. Light grew like plazma E. And W. Till it was large cigar shape glowing orange. Disappeared into smaller. Morphing plazma that fell like feather to the ground. Others blinked out.,"Algona pacific, WA, US",,
,,9:20PM,,,,
33,4/6/2018,4/4/2018,{jpg} Strange 10” diameter mechanical spider like object above me in my home,"Cle Elum, WA, US",,
,,1:10AM,,,,
34,4/5/2018,4/3/2018,{jpg} 3 Orange orbs traveling north then south west,"Bellingham, WA, US",,
,,8:20PM,,,,
35,4/2/2018,4/1/2018,{jpg} Big red orb coming from Lummi Island,"Lummi reservation, WA, US",,
,,9:15PM,,,,
1,11/20/2018,7/7/2018,{rjl} I witnessed several Unexplainable objects and beings all of which I only noticed as I slow down the video that I took it is the most incredible video ever seen or ever recorded in human history,"Gig Harbor, WA, US",,B72BBC6E2EF544959858FCE764C8F09D.jpeg
,,12:00AM,,,,268DF5AF7FEC43389E0676CA9CF832BF.png
,,,,,,98AC802A8C6B47F89815CC41B5354002.png
,,,,,,EC67462B1C104068B4B3D4700C7FB58A.png
,,,,,,DA008A88C6BF498C9089BA3C27736D00.png
2,11/17/2018,9/26/2018,"{cak} Three lights blinking in succession, wobbling and hovering, same as a recent sighting in England","Kennewick, WA, US",,
,,8:00PM,,,,
3,10/8/2018,9/25/2018,{tjd} Bright white light,"Lynnwood, WA, US",,
,,12:00AM,,,,
4,10/1/2018,9/28/2018,{jpg} Bright white or black hovered in same place three hours. Disappeared when when looked at it longer than a minute.,"Washougal , WA, US",,
,,10:45PM,,,,
5,9/30/2018,9/28/2018,{jpg} Bright UFO moved slowly from East to West then faded out,"Vancouver, WA, US",,UFO9.28.18.MP4
,,8:26PM,,,,
6,9/30/2018,9/25/2018,{jpg} Black Egg Shaped Object Being Followed By Black Helicopter @ approximately 11:15 PM On A Clear Evening,"Silvercreek, WA, US",,
,,11:15PM,,,,
7,9/29/2018,9/28/2018,{dr}Multiple lights traveling in wide circles and hovering and displays of altitude height then low overland over Wimberley Island Washington state,"Hansville , WA, US",,
,,12:00AM,,,,
